"","year.site.ppq","DEM","area_2d","area_3d","rug","vrm","curv","pro.curv","plan.curv","year","hum_dist","region","pub.site","site","site.ppq","ppq"
"1","2015.27.1",1,15.99876,24.52567,1.53297,0.04484,-13.73462,286.98938,273.25477,"2015","Very High","N.Lagoon","VH1","27","27.1",1
"2","2015.27.1",8,15.99876,18.34028,1.14636,0.04064,-6.19688,100.23099,94.03412,"2015","Very High","N.Lagoon","VH1","27","27.1",1
"3","2015.27.1",4,15.99876,20.95593,1.30985,0.05548,-6.38676,186.49252,180.10576,"2015","Very High","N.Lagoon","VH1","27","27.1",1
"4","2015.27.2",1,16.00535,24.4374,1.52683,0.04193,5.20763,219.90472,225.11235,"2015","Very High","N.Lagoon","VH1","27","27.2",2
"5","2015.27.2",8,16.00535,18.29991,1.14336,0.03884,2.57403,59.82929,62.40332,"2015","Very High","N.Lagoon","VH1","27","27.2",2
"6","2015.27.2",4,16.00535,20.90105,1.30588,0.05679,2.5259,127.40622,129.93211,"2015","Very High","N.Lagoon","VH1","27","27.2",2
"7","2015.27.3",1,16.00504,23.67035,1.47893,0.04562,6.4818,230.87942,237.36122,"2015","Very High","N.Lagoon","VH1","27","27.3",3
"8","2015.27.3",8,16.00504,17.47931,1.09211,0.02884,4.80642,60.22814,65.03456,"2015","Very High","N.Lagoon","VH1","27","27.3",3
"9","2015.27.3",4,16.00504,19.94797,1.24635,0.0522,6.27307,114.16787,120.44093,"2015","Very High","N.Lagoon","VH1","27","27.3",3
"10","2015.30.1",1,16.00174,37.65534,2.3532,0.076,51.41088,-47.73393,3.67696,"2015","Very High","N.Lagoon","VH3","30","30.1",1
"11","2015.30.1",8,16.00174,24.19481,1.51201,0.08909,24.81584,55.47518,80.29102,"2015","Very High","N.Lagoon","VH3","30","30.1",1
"12","2015.30.1",4,16.00174,29.28003,1.8298,0.10312,40.42468,83.60409,124.02877,"2015","Very High","N.Lagoon","VH3","30","30.1",1
"13","2015.30.2",1,15.99807,30.39497,1.89991,0.05724,5.43773,224.84395,230.28169,"2015","Very High","N.Lagoon","VH3","30","30.2",2
"14","2015.30.2",8,15.99792,21.0593,1.31638,0.0545,-9.04595,103.6073,94.56136,"2015","Very High","N.Lagoon","VH3","30","30.2",2
"15","2015.30.2",4,15.99792,24.62222,1.53909,0.06989,0.99554,177.08075,178.0763,"2015","Very High","N.Lagoon","VH3","30","30.2",2
"16","2015.30.3",1,16.01118,28.66715,1.79045,0.0592,-16.91448,300.99317,284.0787,"2015","Very High","N.Lagoon","VH3","30","30.3",3
"17","2015.30.3",8,16.01118,19.79531,1.23634,0.05395,-9.444,115.36604,105.92203,"2015","Very High","N.Lagoon","VH3","30","30.3",3
"18","2015.30.3",4,16.01118,23.4503,1.46462,0.07524,-10.46232,172.07207,161.60974,"2015","Very High","N.Lagoon","VH3","30","30.3",3
"19","2015.32.1",1,16.0083,29.16348,1.82177,0.06613,11.92347,-6.66107,5.2624,"2015","Very High","N.Lagoon","VH2","32","32.1",1
"20","2015.32.1",8,16.0083,18.91985,1.18188,0.04423,9.29343,49.07199,58.36542,"2015","Very High","N.Lagoon","VH2","32","32.1",1
"21","2015.32.1",4,16.0083,22.38176,1.39813,0.0671,15.40148,68.45186,83.85334,"2015","Very High","N.Lagoon","VH2","32","32.1",1
"22","2015.32.2",1,16.0163,25.65525,1.60182,0.06237,-5.27156,178.06504,172.79348,"2015","Very High","N.Lagoon","VH2","32","32.2",2
"23","2015.32.2",8,16.0163,17.51249,1.09342,0.02809,-4.34114,43.48941,39.14827,"2015","Very High","N.Lagoon","VH2","32","32.2",2
"24","2015.32.2",4,16.0163,20.20312,1.26141,0.05461,-3.80342,91.89049,88.08707,"2015","Very High","N.Lagoon","VH2","32","32.2",2
"25","2015.32.3",1,16.00447,24.53674,1.53312,0.05346,-3.01614,185.98534,182.9692,"2015","Very High","N.Lagoon","VH2","32","32.3",3
"26","2015.32.3",8,16.00447,17.40694,1.08763,0.03135,-1.69619,75.21812,73.52194,"2015","Very High","N.Lagoon","VH2","32","32.3",3
"27","2015.32.3",4,16.00447,19.93214,1.24541,0.05108,-4.94713,111.4921,106.54498,"2015","Very High","N.Lagoon","VH2","32","32.3",3
"28","2015.8.1",1,16.00881,28.69766,1.79262,0.07319,28.69497,34.64098,63.33595,"2015","Medium","S.Lagoon","M1","8","8.1",1
"29","2015.8.1",8,16.00881,18.55915,1.15931,0.03923,22.82904,24.53572,47.36476,"2015","Medium","S.Lagoon","M1","8","8.1",1
"30","2015.8.1",4,16.00881,21.60684,1.34968,0.06009,27.29702,54.48177,81.77878,"2015","Medium","S.Lagoon","M1","8","8.1",1
"31","2015.8.2",1,16.00972,33.49165,2.09196,0.0909,46.04387,-212.06297,-166.01911,"2015","Medium","S.Lagoon","M1","8","8.2",2
"32","2015.8.2",8,16.00972,20.35748,1.27157,0.05811,45.41586,17.79539,63.21125,"2015","Medium","S.Lagoon","M1","8","8.2",2
"33","2015.8.2",4,16.00972,24.51625,1.53134,0.08421,50.53597,21.04315,71.57912,"2015","Medium","S.Lagoon","M1","8","8.2",2
"34","2015.8.3",1,16.01384,28.51803,1.78084,0.06025,-2.54636,103.79142,101.24506,"2015","Medium","S.Lagoon","M1","8","8.3",3
"35","2015.8.3",8,16.01384,19.19765,1.19882,0.04116,-0.47173,29.37697,28.90525,"2015","Medium","S.Lagoon","M1","8","8.3",3
"36","2015.8.3",4,16.01384,22.16402,1.38405,0.05604,3.87034,59.29131,63.16165,"2015","Medium","S.Lagoon","M1","8","8.3",3
"37","2015.34.1",1,16.00784,30.87631,1.92882,0.06978,-1.99482,95.1055,93.11068,"2015","Medium","S.Lagoon","M3","34","34.1",1
"38","2015.34.1",8,16.00784,20.0182,1.25052,0.04694,-8.48429,65.5944,57.11012,"2015","Medium","S.Lagoon","M3","34","34.1",1
"39","2015.34.1",4,16.00784,23.2947,1.45521,0.06189,-11.3596,108.91739,97.55779,"2015","Medium","S.Lagoon","M3","34","34.1",1
"40","2015.34.2",1,16.0031,28.83118,1.8016,0.06928,31.03026,104.35264,135.3829,"2015","Medium","S.Lagoon","M3","34","34.2",2
"41","2015.34.2",8,16.0031,18.92807,1.18278,0.04139,21.59378,46.03671,67.63049,"2015","Medium","S.Lagoon","M3","34","34.2",2
"42","2015.34.2",4,16.0031,21.88141,1.36732,0.0584,30.8016,86.97223,117.77383,"2015","Medium","S.Lagoon","M3","34","34.2",2
"43","2015.34.3",1,16.00392,29.63807,1.85193,0.07234,13.06869,136.25805,149.32673,"2015","Medium","S.Lagoon","M3","34","34.3",3
"44","2015.34.3",8,16.00392,18.90459,1.18125,0.03856,7.92886,43.29949,51.22835,"2015","Medium","S.Lagoon","M3","34","34.3",3
"45","2015.34.3",4,16.00392,21.84607,1.36505,0.05584,9.19254,91.84439,101.03693,"2015","Medium","S.Lagoon","M3","34","34.3",3
"46","2015.35.1",1,16.00591,26.39876,1.64931,0.05375,21.92695,131.0193,152.94625,"2015","Medium","S.Lagoon","M2","35","35.1",1
"47","2015.35.1",8,16.00591,19.00001,1.18706,0.04705,27.65889,44.20526,71.86415,"2015","Medium","S.Lagoon","M2","35","35.1",1
