"","year","hum_dist","region","site","site.ppq","year.site.ppq","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Encrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_Massive_Grooved","Live_Porites","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_Branching","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating"
"1","2015","Very High","N.Lagoon","27","27.1","2015.27.1",0.544494214748968,0,0,6.56008029914682,0,0,0.442501548421048,0,0,1.16694385122158,0,0.672211607751668,0.238734963441013,0.417120568093964,0,0.349752533879328,0,0,0.332008972404668,0,0,0,0,79.6447975240263,9.63135391686463,0,0
"2","2015","Very High","N.Lagoon","27","27.2","2015.27.2",0,0,0,3.71683359767582,0,0,0.161679144115092,0,0,0,0,0,0.0778096499209222,0.0724182626963733,0,0,0,0,0.662259764658139,0,0,0,0,90.1361915640471,5.1728080168866,0,0
"3","2015","Very High","N.Lagoon","27","27.3","2015.27.3",0.0865594534017759,0,0,9.47008744665034,0,0,0.0248864671999047,0,0,0.258479614168604,0,0,0.0504472290454666,0.166975333365342,0,0.151066974502984,0,0,0.0423182324839323,0,0,0,0,86.94439447935,2.80478476983171,0,0
"4","2015","Very High","N.Lagoon","30","30.1","2015.30.1",1.21547309957269,0.0832301426304504,0,33.2277201768684,0,0,4.21158364301976,0,0,11.2698651326248,0.310978191744715,0.439408761699718,0.191090122194545,3.42293002900272,1.32245388748928,15.7665562855063,3.32537093313847,1.33059732218177,0.0590741962302133,0,0,0,0,20.6334868884154,3.09251608998657,0,0.0976650976940923
"5","2015","Very High","N.Lagoon","30","30.2","2015.30.2",0.249112158818575,0,0,8.95077097205217,0,0,3.80428756277702,0,0.0218645473798182,4.00547263373903,0,0.19676843239129,0,2.3672370627317,0.273488005640304,3.32905225495636,1.7379191660187,0,0,0,0,0,0,73.1506606622871,1.91336654120789,0,0
"6","2015","Very High","N.Lagoon","30","30.3","2015.30.3",1.06320263443373,0,0,17.4365991357554,0,0,2.51222209705356,0,0.141847900164372,7.89887603386027,0,1.02312100233955,0.0089934717975305,4.85037539186953,0.0275032192894722,15.641085166622,1.48117812613391,0,0.0489568506293252,0,0,0,0,41.4430009939498,4.90819501332216,0.0259659268784064,1.48887703590107
"7","2015","Very High","N.Lagoon","32","32.1","2015.32.1",0.472822745797671,0,0,37.4217428649307,0,0,1.21196188218647,0.0491006794977031,0,0.39537817920343,0,0.737765341464534,0.244935145951661,0.537684599790122,0,0.110946429179154,0.00127388256613652,0,0.294822635269624,0,0,0,0.0258773007552438,55.0691190571271,3.42656925628051,0,0
"8","2015","Very High","N.Lagoon","32","32.2","2015.32.2",0.478124514167728,0,0,24.4190647919967,0,0,1.25026769553325,0,0,2.29518872300958,0,0.109812922186294,0.0367125302737893,0.685331783248722,0.200788819910679,0,0.0611563323183276,0,0.0955275022430232,0,0,0,0,70.2923765931396,0,0.0756477919723183,0
"9","2015","Very High","N.Lagoon","32","32.3","2015.32.3",0.0417720469533802,0,0,19.8291207146556,0,0,0.774688413704955,0,0,1.01404986492809,0,0.425998657121781,0.00907164405867604,0.491568150507322,0,0.0315508281655055,0,0,1.13644833514402,0,0,0,0.124691371985576,70.0014038556612,6.11963611711393,0,0
"10","2015","Medium","S.Lagoon","8","8.1","2015.8.1",4.32273693881102,0.898590777156546,0.0335940501983226,44.3783786490035,0,0,2.39607935905957,0.224118875875992,0,9.04191245771017,0.15898972527727,3.75812784513694,0.639695050134489,7.59796908696528,3.74215690323937,6.81829674160243,2.65886143205278,0,0.070110682632602,0,0.0113711604341192,0.131021802338316,0.145565873251301,8.82251226921301,0.273927938008714,1.43395527385284,2.44202710804542
